alpha,FPR,TPR,FDR,NPrecision,NRecall,diffnetfinder_sec,run,dim,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC
0.2,5.0276520864756156e-05,1.0,0.09090909090909091,0.9090909090909091,1.0,45.58299240004271,6,200,10.0,19889.0,1.0,0.0,1.0,5.0276520864756156e-05,0.9999497487437186
0.25,5.0276520864756156e-05,1.0,0.09090909090909091,0.9090909090909091,1.0,45.58299240004271,6,200,10.0,19889.0,1.0,0.0,1.0,5.0276520864756156e-05,0.9999497487437186
0.3,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,45.58299240004271,6,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.35,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,45.58299240004271,6,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.4,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,45.58299240004271,6,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.45,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,45.58299240004271,6,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.5,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,45.58299240004271,6,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.55,0.00030165912518853697,1.0,0.375,0.625,1.0,45.58299240004271,6,200,10.0,19884.0,6.0,0.0,1.0,0.00030165912518853697,0.9996984924623116
0.6,0.00030165912518853697,1.0,0.375,0.625,1.0,45.58299240004271,6,200,10.0,19884.0,6.0,0.0,1.0,0.00030165912518853697,0.9996984924623116
0.65,0.00030165912518853697,1.0,0.375,0.625,1.0,45.58299240004271,6,200,10.0,19884.0,6.0,0.0,1.0,0.00030165912518853697,0.9996984924623116
0.7,0.0005530417295123177,1.0,0.5238095238095238,0.47619047619047616,1.0,45.58299240004271,6,200,10.0,19879.0,11.0,0.0,1.0,0.0005530417295123177,0.9994472361809045
0.75,0.0007038712921065862,1.0,0.5833333333333334,0.4166666666666667,1.0,45.58299240004271,6,200,10.0,19876.0,14.0,0.0,1.0,0.0007038712921065862,0.9992964824120603
0.8,0.0027149321266968325,1.0,0.84375,0.15625,1.0,45.58299240004271,6,200,10.0,19836.0,54.0,0.0,1.0,0.0027149321266968325,0.997286432160804
0.85,0.00784313725490196,1.0,0.9397590361445783,0.060240963855421686,1.0,45.58299240004271,6,200,10.0,19734.0,156.0,0.0,1.0,0.00784313725490196,0.9921608040201005
0.9,0.0342885872297637,1.0,0.9855491329479769,0.014450867052023121,1.0,45.58299240004271,6,200,10.0,19208.0,682.0,0.0,1.0,0.0342885872297637,0.9657286432160804
0.95,0.11231774761186526,1.0,0.9955436720142602,0.004456327985739751,1.0,45.58299240004271,6,200,10.0,17656.0,2234.0,0.0,1.0,0.11231774761186526,0.8877386934673367
1.0,0.9981900452488688,1.0,0.9994965767217077,0.0005034232782923883,1.0,45.58299240004271,6,200,10.0,36.0,19854.0,0.0,1.0,0.9981900452488688,0.0023115577889447235
0.05,,,,,,,7,200,,,,,,,
0.1,,,,,,,7,200,,,,,,,
0.15,,,,,,,7,200,,,,,,,
0.2,,,,,,,7,200,,,,,,,
0.25,,,,,,,7,200,,,,,,,
0.3,,,,,,,7,200,,,,,,,
0.35,,,,,,,7,200,,,,,,,
0.4,,,,,,,7,200,,,,,,,
0.45,,,,,,,7,200,,,,,,,
0.5,,,,,,,7,200,,,,,,,
0.55,,,,,,,7,200,,,,,,,
0.6,,,,,,,7,200,,,,,,,
0.65,,,,,,,7,200,,,,,,,
0.7,,,,,,,7,200,,,,,,,
0.75,,,,,,,7,200,,,,,,,
0.8,,,,,,,7,200,,,,,,,
0.85,,,,,,,7,200,,,,,,,
0.9,,,,,,,7,200,,,,,,,
0.95,,,,,,,7,200,,,,,,,
1.0,,,,,,,7,200,,,,,,,
0.05,0.0,1.0,0.0,1.0,1.0,44.45361419999972,8,200,10.0,19890.0,0.0,0.0,1.0,0.0,1.0
0.1,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.45361419999972,8,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.15,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.45361419999972,8,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.2,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.45361419999972,8,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.25,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.45361419999972,8,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.3,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.45361419999972,8,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.35,0.00020110608345902463,1.0,0.2857142857142857,0.7142857142857143,1.0,44.45361419999972,8,200,10.0,19886.0,4.0,0.0,1.0,0.00020110608345902463,0.9997989949748743
0.4,0.00020110608345902463,1.0,0.2857142857142857,0.7142857142857143,1.0,44.45361419999972,8,200,10.0,19886.0,4.0,0.0,1.0,0.00020110608345902463,0.9997989949748743
0.45,0.00020110608345902463,1.0,0.2857142857142857,0.7142857142857143,1.0,44.45361419999972,8,200,10.0,19886.0,4.0,0.0,1.0,0.00020110608345902463,0.9997989949748743
